Movie Title,World Wide,Deomestic,Foreign
Cats in the Museum,"$8,771,514",-,"$8,771,514"
Father & Soldier,"$8,598,322",-,"$8,598,322"
PreCure All Stars F,"$8,519,569",-,"$8,519,569"
Dream,"$8,317,251",-,"$8,317,251"
Vacaciones de verano,"$8,209,854",-,"$8,209,854"
On the Wandering Paths,"$8,184,996",-,"$8,184,996"
Weekend Rebels,"$8,184,539",-,"$8,184,539"
Avatar: The Way of Water,"$2,320,250,281","$684,075,767","$1,636,174,514"
Top Gun: Maverick,"$1,495,696,292","$718,732,821","$776,963,471"
Jurassic World Dominion,"$1,001,978,080","$376,851,080","$625,127,000"
Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607","$544,444,197"
Minions: The Rise of Gru,"$940,203,765","$370,270,765","$569,933,000"
Black Panther: Wakanda Forever,"$859,208,836","$453,829,060","$405,379,776"
The Batman,"$772,245,583","$369,345,583","$402,900,000"
Thor: Love and Thunder,"$760,928,081","$343,256,830","$417,671,251"
Water Gate Bridge,"$626,571,697","$117,294","$626,454,403"
Puss in Boots: The Last Wish,"$481,705,474","$186,090,535","$295,614,939"
Moon Man,"$460,237,662",-,"$460,237,662"
Fantastic Beasts: The Secrets of Dumbledore,"$407,150,844","$95,850,844","$311,300,000"
Uncharted,"$407,141,258","$148,648,820","$258,492,438"
Sonic the Hedgehog 2,"$405,421,518","$190,872,904","$214,548,614"
Black Adam,"$393,452,111","$168,152,111","$225,300,000"
Elvis,"$287,740,048","$151,040,048","$136,700,000"
The Bad Guys,"$250,387,888","$97,459,240","$152,928,648"
Bullet Train,"$239,268,602","$103,368,602","$135,900,000"
Lightyear,"$226,425,420","$118,307,188","$108,118,232"
Smile,"$217,408,513","$105,935,048","$111,473,465"
Too Cool to Kill,"$217,254,604","$185,882","$217,068,722"
Nice View,"$211,019,042",-,"$211,019,042"
DC League of Super-Pets,"$207,557,117","$93,657,117","$113,900,000"
The Lost City,"$192,907,684","$105,344,029","$87,563,655"
M3GAN,"$180,089,109","$95,159,005","$84,930,104"
One Piece Film: Red,"$171,319,579","$12,775,324","$158,544,255"
Nope,"$171,235,592","$123,277,080","$47,958,512"
Ticket to Paradise,"$168,770,985","$68,275,985","$100,495,000"
Morbius,"$167,460,961","$73,865,530","$93,595,431"
RRR,"$165,955,146","$14,500,000","$151,455,146"
The Black Phone,"$161,440,742","$90,123,230","$71,317,512"
The First Slam Dunk,"$152,918,859","$1,291,869","$151,626,990"
Where the Crawdads Sing,"$144,353,965","$90,230,760","$54,123,205"
Everything Everywhere All at Once,"$139,405,704","$77,191,785","$62,213,919"
Scream,"$137,743,924","$81,641,405","$56,102,519"
Death on the Nile,"$137,307,235","$45,630,104","$91,677,131"
Suzume,"$132,181,655","$10,932,037","$121,249,618"
A Man Called Otto,"$113,190,218","$64,267,657","$48,922,561"
"Lyle, Lyle, Crocodile","$110,999,085","$46,888,441","$64,110,644"
Halloween Ends,"$104,374,176","$64,079,860","$40,294,316"
The Roundup,"$101,166,707","$812,859","$100,353,848"
The Woman King,"$97,562,514","$67,328,130","$30,234,384"
Downton Abbey: A New Era,"$92,651,384","$44,141,550","$48,509,834"
K.G.F: Chapter 2,"$89,123,940","$2,874,000","$86,249,940"
Don't Worry Darling,"$87,609,403","$45,309,403","$42,300,000"
Dragon Ball Super: Super Hero,"$86,562,140","$38,112,140","$48,450,000"
Dog,"$84,485,461","$61,778,069","$22,707,392"
Jackass Forever,"$80,563,999","$57,743,451","$22,820,548"
The Menu,"$79,628,200","$38,501,125","$41,127,075"
Chebi: My Fluffy Friend,"$77,609,926",-,"$77,609,926"
Avatar 2022  Re-release,"$76,012,917","$24,714,024","$51,298,893"
