title,year,bt_score,dubious,imdbid,tmdbId,budget,id,popularity,revenue,Category,castMale,castFemale,castUnknown,CrewMale,CrewFemale,CrewUnknown,genre
"Constant Gardener, The",2005,3,0,387131,1985,25000000.0,1985,11.556484,82466670.0,Beschdel test passed!,8.0,12.0,0.0,47.0,22.0,3.0,"Drama, Mystery, Thriller"
"Sun, The",2005,0,0,439817,98246,0.0,98246,1.134351,76.0,Two named female character not present,3.0,1.0,0.0,2.0,1.0,0.0,"Drama, History, Foreign"
In Her Shoes,2005,3,0,388125,11931,0.0,11931,8.63229,83073883.0,Beschdel test passed!,24.0,24.0,3.0,4.0,7.0,0.0,"Comedy, Drama, Romance"
"Squid and the Whale, The",2005,2,0,367089,10707,1500000.0,10707,10.952762,11098131.0,Two named female character talk only about boys,24.0,17.0,0.0,17.0,19.0,4.0,"Comedy, Drama"
Waiting...,2005,3,0,348333,7553,3000000.0,7553,5.054419,18637690.0,Beschdel test passed!,11.0,17.0,0.0,10.0,3.0,0.0,Comedy
A Bittersweet Life (Dalkomhan insaeng),2005,2,1,456912,11344,0.0,11344,10.237072,0.0,Dubious,1.0,9.0,0.0,0.0,4.0,6.0,"Action, Drama, Crime"
Sky High,2005,3,0,405325,11459,35000000.0,11459,8.061423,86369815.0,Beschdel test passed!,8.0,12.0,0.0,14.0,26.0,0.0,"Adventure, Comedy, Family"
"Jacket, The",2005,2,0,366627,9667,29000000.0,9667,12.092096,21126225.0,Two named female character talk only about boys,9.0,13.0,0.0,9.0,11.0,0.0,"Drama, Mystery, Thriller, Fantasy"
"Adventures of Sharkboy and Lavagirl 3-D, The",2005,1,0,424774,14199,50000000.0,14199,6.477862,69425966.0,Two named female character have no dialogue,3.0,5.0,0.0,32.0,29.0,3.0,"Adventure, Family, Science Fiction"
Danny the dog,2005,1,0,342258,10027,45000000.0,10027,7.90583,50871113.0,Two named female character have no dialogue,9.0,13.0,1.0,6.0,19.0,2.0,"Action, Crime"
"Sisterhood of the Traveling Pants, The",2005,3,0,403508,9779,25000000.0,9779,9.263965,39053061.0,Beschdel test passed!,23.0,11.0,0.0,7.0,8.0,0.0,"Drama, Comedy"
Mrs Palfrey at The Claremont,2005,3,0,421229,47880,750000.0,47880,2.6982,1720953.0,Beschdel test passed!,4.0,6.0,0.0,0.0,1.0,0.0,"Comedy, Drama"
"Call of Cthulhu, The",2005,0,0,478988,20981,50000.0,20981,3.324295,0.0,Two named female character not present,3.0,2.0,1.0,0.0,3.0,0.0,"Horror, Thriller, Fantasy"
Brokeback Mountain,2005,2,0,388795,142,14000000.0,142,11.787044,178043761.0,Two named female character talk only about boys,9.0,6.0,0.0,17.0,16.0,1.0,"Drama, Romance"
Lord of War,2005,2,0,399295,1830,42000000.0,1830,8.745216,24127895.0,Two named female character talk only about boys,10.0,8.0,2.0,4.0,10.0,2.0,"Crime, Drama, Thriller"
Me and You and Everyone We Know,2005,3,0,415978,1382,0.0,1382,9.0744,0.0,Beschdel test passed!,8.0,3.0,0.0,7.0,6.0,2.0,"Comedy, Drama"
Wedding Crashers,2005,3,0,396269,9522,40000000.0,9522,11.100597,285176741.0,Beschdel test passed!,10.0,10.0,1.0,8.0,25.0,1.0,"Comedy, Romance"
Red Eye,2005,3,0,421239,11460,26000000.0,11460,6.336927,57891803.0,Beschdel test passed!,12.0,11.0,1.0,15.0,17.0,3.0,"Horror, Thriller"
Shopgirl,2005,2,0,338427,2610,10284523.0,2610,4.349046,11588205.0,Two named female character talk only about boys,6.0,5.0,0.0,2.0,9.0,1.0,"Comedy, Drama, Romance"
